1,1B,550,158,Albert Pujols
2,1B,558,155,Miguel Cabrera
3,1B,544,148,Joey Votto
4,1B,561,140,Prince Fielder
5,1B,582,138,Adrian Gonzalez
6,1B,493,124,Paul Konerko
7,1B,251,123,Jim Thome
8,1B,625,123,Eric Hosmer
9,1B,586,123,Billy Butler
10,1B,562,122,Mark Teixeira
11,1B,540,117,Ryan Howard
12,1B,371,116,Justin Morneau
13,1B,441,116,Carlos Pena
14,1B,465,116,Michael Morse
15,1B,549,115,Freddie Freeman
16,1B,361,113,Ike Davis
17,1B,579,113,Paul Goldschmidt
18,1B,138,112,Jason Giambi
19,1B,325,111,Kendrys Morales
20,1B,525,109,Gaby Sanchez
21,1B,370,108,Dan Murphy
22,1B,503,107,Bryan LaHair
23,1B,466,107,Mat Gamel
24,1B,205,106,Russell Branyan
25,1B,556,106,Adam Lind
26,1B,462,105,Casey Kotchman
27,1B,473,105,Derrek Lee
28,1B,356,104,Jake Fox
29,1B,446,103,Matt LaPorta
30,1B,498,103,Aubrey Huff
31,1B,553,102,James Loney
32,1B,511,102,Jesus Guzman
33,1B,430,99,Dan Johnson
34,1B,414,99,Lyle Overbay
35,1B,572,98,Matt Adams
36,1B,590,98,Mark Trumbo
37,1B,578,98,Anthony Rizzo
38,1B,511,97,Nick Evans
39,1B,516,97,Brett Wallace
40,1B,494,96,Jerry Sands
41,1B,526,96,Mitch Moreland
42,1B,364,95,Adam LaRoche
43,1B,441,95,Justin Smoak
44,1B,542,95,Neftali Soto
45,1B,324,94,Jorge Posada
46,1B,435,94,Daric Barton
47,1B,329,94,Mark Hamilton
48,1B,371,93,Todd Helton
49,1B,496,93,Matt Rizzotti
50,1B,576,92,Donald Lutz
51,1B,543,91,Clint Robinson
52,1B,307,91,Brad Hawpe
53,1B,420,91,Daniel Dorn
54,1B,600,91,Brett Pill
55,1B,474,91,Kila Ka'aihue
56,1B,307,90,Jeff Clement
57,1B,592,89,Chris Marrero
58,1B,549,89,Matt Hague
59,1B,443,89,Nick Stavinoha
60,1B,335,88,Jeff Larish
61,1B,277,88,Tagg Bozied
62,1B,584,87,Joseph Terdoslavich
63,1B,405,87,Jorge Vazquez
64,1B,335,86,Andy Tracy
65,1B,441,86,Jorge Cantu
66,1B,355,86,Juan Miranda
67,1B,546,85,Brandon Allen
68,1B,252,85,Steven Pearce
69,1B,400,85,Val Pascucci
70,1B,458,84,Matt McBride
71,1B,537,84,Brian Cavazos-Galvez
72,1B,223,84,Terry Tiffee
73,1B,574,83,David Cooper
74,1B,211,83,Nick Johnson
75,1B,286,83,Conor Jackson
76,1B,563,83,Lars Anderson
77,1B,468,83,Joe Mahoney
78,1B,352,82,John Lindsey
79,1B,588,81,Chris Parmelee
80,1B,438,81,Jeff Bailey
81,1B,260,80,Travis Ishikawa
82,1B,606,80,Matthew Davidson
83,1B,447,80,Brad Nelson
84,1B,514,80,Brandon Snyder
85,1B,514,80,Brandon Snyder
86,1B,337,80,Steve Hill
87,1B,160,80,Ross Gload
88,1B,508,80,Beau Mills
89,1B,534,79,Chad S. Tracy
90,1B,425,78,Allan Dykstra
91,1B,408,78,James van Ostrand
92,1B,430,78,Matt Mangini
93,1B,587,78,Mike McDade
94,1B,232,77,Jeff Baker
95,1B,229,77,Xavier Nady
96,1B,186,77,Daryle Ward
97,1B,453,77,Ryan Strieby
98,1B,567,76,Rich Poythress
99,1B,535,76,Mauro Gomez
100,1B,540,75,Tyler Moore
101,2B,609,121,Robinson Cano
102,2B,514,119,Ben Zobrist
103,2B,562,118,Dustin Pedroia
104,2B,536,117,Ian Kinsler
105,2B,450,116,Rickie Weeks
106,2B,460,116,Chase Utley
107,2B,610,111,Dustin Ackley
108,2B,557,110,Dan Uggla
109,2B,552,104,Howie Kendrick
110,2B,603,104,Brandon Phillips
111,2B,585,104,Neil Walker
112,2B,578,103,Jason Kipnis
113,2B,505,101,Kelly Johnson
114,2B,321,100,Brian Roberts
115,2B,415,99,Vincent Belnome
116,2B,640,98,Jose Altuve
117,2B,341,97,Matt Downs
118,2B,361,96,Ryan Raburn
119,2B,528,95,Aaron Hill
120,2B,442,95,Orlando Hudson
121,2B,572,93,Kyle Seager
122,2B,369,93,Maicer Izturis
123,2B,237,93,Carlos Guillen
124,2B,627,91,Johnny Giavotella
125,2B,582,91,Danny Espinosa
126,2B,479,91,Justin Turner
127,2B,472,89,Omar Infante
128,2B,641,89,Henry Rodriguez
129,2B,614,88,Stephen Lombardozzi
130,2B,532,88,Jemile Weeks
131,2B,434,87,Jeff Keppinger
132,2B,500,87,Gordon Beckham
133,2B,405,87,Jarrett Hoffpauir
134,2B,503,87,Cord Phelps
135,2B,452,86,Skip Schumaker
136,2B,352,86,Alexi Casilla
137,2B,370,86,Freddy Sanchez
138,2B,341,86,Bobby Scales
139,2B,515,85,Ryan Adams
140,2B,553,85,Ivan DeJesus
141,2B,264,85,Ramon Santiago
142,2B,373,84,Wes Timmons
143,2B,424,84,Brad Emaus
144,2B,324,83,Drew Sutton
145,2B,516,83,Josh Satin
146,2B,398,83,Yangervis Solarte
147,2B,431,83,Felipe Lopez
148,2B,447,83,Logan Forsythe
149,2B,392,83,Adam Kennedy
150,2B,376,82,Jamey Carroll
151,2B,453,82,Joseph Thurston
152,2B,507,81,Jonathan Schoop
153,2B,442,81,Nate Spears
154,2B,322,81,David Adams
155,2B,262,80,Reese Havens
156,2B,393,79,Kevin Frandsen
157,2B,434,79,Mark Ellis
158,2B,361,79,Andy LaRoche
159,2B,543,78,Ryan Flaherty
160,2B,433,78,Robert Andino
161,2B,430,78,Ruben Gotay
162,2B,248,78,Nick Punto
163,2B,532,77,Will Rhymes
164,2B,437,76,Brock Holt
165,2B,372,76,Chris Getz
166,2B,589,76,Corban Joseph
167,2B,336,76,Luke Hughes
168,2B,571,76,Darwin Barney
169,2B,156,75,Joe Inglett
170,2B,317,75,Harold Garcia
171,2B,609,75,Charlie Culberson
172,2B,484,75,Mark Hallberg
